36023	24
73524	44
6408	7
19261	11
7649	3
188377	327
2140	1
2497	3
847009	2851
20084	11
161228	167
161106	176
20377	20
2291	0
40750	29
755	0
13644	9
5139341	15153
13914	11
10519	3
541047	1093
38381	81
89658	109
25078	11
10510	4
24398	9
3189	2
7625	4
3582	2
4230	3
13486	5
86723	70
144910	268
9257	6
41179	20
705138	1269
452140	904
9029	2
8478	6
7709	2
14274	7
27831	12
15047	6
63318	137
21267	3
11264	2
12117	1
16163	7
383733	4189
34128	67
6691	1
26486	27
52065	66
20698	7
11676	6
62972	50
3007	13
7604	4
2944	3
897	0
47660	39
77512	107
109318	86
28577	6
103908	84
181388	217
61894	98
290866	497
22307	23
45602	34
22412	10
3651	4
10585	6
17766	4
22974	18
5949	3
23080	17
26819	12
29981	14
28426	22
23436	30
66613	47
5431	2
40647	24
24192	16
120386	243
4496	1
50686	48
32282	23
61435	144
70900	7
9324	0
137913	203
26108	15
5298	0
18822	16
33442	22
105039	114
62565	130
6600	3
